Time,Temperature,Humidity
23:59:07,12.0,75.5
23:59:11,10.0,77.0
23:59:15,8.0,78.5
23:59:19,6.0,80.0
23:59:23,4.0,81.5
23:59:27,2.0,83.0
23:59:31,0.0,84.5
23:59:35,2.0,83.0
23:59:39,4.0,81.5
23:59:43,6.0,80.0
23:59:47,8.0,78.5
23:59:51,10.0,77.0
23:59:55,12.0,75.5
23:59:59,14.0,74.0
00:00:03,16.0,72.5
00:00:07,18.0,71.0
00:00:11,20.0,69.5
00:00:15,22.0,68.0
00:00:19,24.0,66.5
00:00:23,26.0,65.0
00:00:27,28.0,63.5
00:00:31,30.0,62.0
00:00:35,32.0,60.5
00:00:39,34.0,59.0
00:00:43,36.0,57.5
00:00:47,38.0,56.0
00:00:51,40.0,54.5
00:00:55,39.0,56.0
00:00:59,38.0,57.5
00:01:03,37.0,59.0
00:01:07,36.0,60.5
00:01:11,35.0,62.0
00:01:15,34.0,63.5
00:01:19,33.0,65.0
00:01:23,32.0,66.5
00:01:27,31.0,68.0
00:01:31,30.0,69.5
00:01:35,29.0,71.0
00:01:39,28.0,72.5
00:01:43,27.0,74.0
00:01:47,26.0,75.5
00:01:51,25.0,77.0
00:01:55,24.0,78.5
00:01:59,23.0,80.0
00:02:03,22.0,81.5
00:02:07,21.0,83.0
00:02:11,20.0,84.5
00:02:15,19.0,86.0
00:02:19,18.0,87.5
00:02:23,17.0,89.0
00:02:27,16.0,90.5
00:02:31,15.0,92.0
00:02:35,14.0,93.5
00:02:39,13.0,95.0
00:02:43,12.0,93.5
00:02:47,11.0,92.0
00:02:51,10.0,90.5
00:02:55,9.0,89.0
00:02:59,8.0,87.5
00:03:03,7.0,86.0
00:03:07,6.0,84.5
00:03:11,5.0,83.0
00:03:15,4.0,81.5
00:03:19,3.0,80.0
00:03:23,2.0,78.5
00:03:27,1.0,77.0
00:03:31,0.0,75.5
00:03:35,1.0,74.0
00:03:39,2.0,72.5
00:03:43,3.0,71.0
00:03:47,4.0,69.5
00:03:51,5.0,68.0
00:03:55,6.0,66.5
00:03:59,7.0,65.0
00:04:03,8.0,63.5
00:04:07,9.0,62.0
00:04:11,10.0,60.5
00:04:15,11.0,59.0
00:04:19,12.0,57.5
00:04:23,13.0,56.0
00:04:27,14.0,54.5
00:04:31,15.0,53.0
00:04:35,16.0,51.5
00:04:39,17.0,50.0
00:04:43,18.0,48.5
00:04:47,19.0,47.0
00:04:51,20.0,45.5
00:04:55,21.0,44.0
00:04:59,22.0,42.5
00:05:03,23.0,41.0
00:05:07,24.0,39.5
00:05:11,25.0,38.0
00:05:15,26.0,36.5
00:05:19,27.0,35.0
00:05:23,28.0,33.5
00:05:27,29.0,32.0
00:05:31,30.0,30.5
00:05:35,31.0,29.0
00:05:39,32.0,27.5
00:05:43,33.0,26.0
00:05:47,34.0,24.5
00:05:51,35.0,23.0
00:05:55,36.0,21.5
00:05:59,37.0,20.0
00:06:03,38.0,18.5
00:06:07,39.0,17.0
00:06:11,40.0,15.5
00:06:15,39.0,17.0
00:06:19,38.0,18.5
00:06:23,37.0,20.0
00:06:27,36.0,21.5
00:06:31,35.0,23.0
00:06:35,34.0,24.5
00:06:39,33.0,26.0
00:06:43,32.0,27.5
00:06:47,31.0,29.0
00:06:51,30.0,30.5
00:06:55,29.0,32.0
00:06:59,28.0,33.5
00:07:03,27.0,35.0
00:07:07,26.0,36.5
00:07:11,25.0,38.0
00:07:15,24.0,39.5
00:07:19,23.0,41.0
00:07:23,22.0,42.5
00:07:27,21.0,44.0
00:07:31,20.0,45.5
00:07:35,19.0,47.0
00:07:39,18.0,48.5
00:07:43,17.0,50.0
00:07:47,16.0,51.5
00:07:51,15.0,53.0
00:07:55,14.0,54.5
00:07:59,13.0,56.0
00:08:03,12.0,57.5
00:08:07,11.0,59.0
00:08:11,10.0,60.5
00:08:15,9.0,62.0
00:08:19,8.0,63.5
00:08:23,7.0,65.0
00:08:27,6.0,66.5
00:08:31,5.0,68.0
00:08:35,4.0,69.5
00:08:39,3.0,71.0
00:08:43,2.0,72.5
00:08:47,1.0,74.0
00:08:51,0.0,75.5
00:08:55,2.0,73.0
00:08:59,4.0,70.5
00:09:03,6.0,68.0
00:09:07,8.0,65.5
00:09:11,10.0,63.0
00:09:15,12.0,60.5
00:09:19,14.0,58.0
00:09:23,16.0,55.5
00:09:27,18.0,53.0
00:09:31,20.0,50.5
00:09:35,22.0,48.0
00:09:39,24.0,45.5
00:09:43,26.0,43.0
00:09:47,28.0,40.5
00:09:51,30.0,38.0
00:09:55,32.0,35.5
00:09:59,34.0,33.0
00:10:03,36.0,30.5
00:10:07,38.0,28.0
00:10:11,40.0,25.5
00:10:15,39.0,27.0
00:10:19,38.0,28.5
00:10:23,37.0,30.0
00:10:27,36.0,31.5
00:10:31,35.0,33.0
00:10:35,34.0,34.5
00:10:39,33.0,36.0
00:10:43,32.0,37.5
00:10:47,31.0,39.0
00:10:51,30.0,40.5
00:10:55,29.0,42.0
00:10:59,28.0,43.5
00:11:03,27.0,45.0
00:11:07,26.0,46.5
00:11:11,25.0,48.0
00:11:15,24.0,49.5
00:11:19,23.0,51.0
00:11:23,22.0,52.5
00:11:27,21.0,54.0
00:11:31,20.0,55.5
00:11:35,19.0,57.0
00:11:39,18.0,58.5
00:11:43,17.0,60.0
00:11:47,16.0,61.5
00:11:51,15.0,63.0
00:11:55,14.0,64.5
00:11:59,13.0,66.0
00:12:03,12.0,67.5
00:12:07,11.0,69.0
00:12:11,10.0,70.5
00:12:15,9.0,72.0
00:12:19,8.0,73.5
00:12:23,7.0,75.0
00:12:27,6.0,76.5
00:12:31,5.0,78.0
00:12:35,4.0,79.5
00:12:39,3.0,81.0
00:12:43,2.0,82.5
00:12:47,1.0,84.0
00:12:51,0.0,85.5
00:12:55,2.0,83.0
00:12:59,4.0,80.5
00:13:03,6.0,78.0
00:13:07,8.0,75.5
00:13:11,10.0,73.0
00:13:15,12.0,70.5
00:13:19,14.0,68.0
00:13:23,16.0,65.5
00:13:27,18.0,63.0
00:13:31,20.0,60.5
00:13:35,22.0,58.0
00:13:39,24.0,55.5
00:13:43,26.0,53.0
00:13:47,28.0,50.5
00:13:51,30.0,48.0
00:13:55,32.0,45.5
00:13:59,34.0,43.0
00:14:03,36.0,40.5
00:14:07,38.0,38.0
00:14:11,40.0,35.5
00:14:15,39.0,37.0
00:14:19,38.0,38.5
00:14:23,37.0,40.0
00:14:27,36.0,41.5
00:14:31,35.0,43.0
00:14:35,34.0,44.5
00:14:39,33.0,46.0
00:14:43,32.0,47.5
00:14:47,31.0,49.0
00:14:51,30.0,50.5
00:14:55,29.0,52.0
00:14:59,28.0,53.5
00:15:03,27.0,55.0
00:15:07,26.0,56.5
00:15:11,25.0,58.0
00:15:15,24.0,59.5
00:15:19,23.0,61.0
00:15:23,22.0,62.5
00:15:27,21.0,64.0
00:15:31,20.0,65.5
00:15:35,19.0,67.0
00:15:39,18.0,68.5
00:15:43,17.0,70.0
00:15:47,16.0,71.5
00:15:51,15.0,73.0
00:15:55,14.0,74.5
00:15:59,13.0,76.0
00:16:03,12.0,77.5
00:16:07,11.0,79.0
00:16:11,10.0,80.5
00:16:15,9.0,82.0
00:16:19,8.0,83.5
00:16:23,7.0,85.0
00:16:27,6.0,86.5
00:16:31,5.0,88.0
00:16:35,4.0,89.5
00:16:39,3.0,91.0
00:16:43,2.0,92.5
00:16:47,1.0,94.0
00:16:51,0.0,95.5
00:16:55,2.0,93.0
00:16:59,4.0,90.5
00:17:03,6.0,88.0
00:17:07,8.0,85.5
00:17:11,10.0,83.0
00:17:15,12.0,80.5
00:17:19,14.0,78.0
00:17:23,16.0,75.5
00:17:27,18.0,73.0
00:17:31,20.0,70.5
00:17:35,22.0,68.0
00:17:39,24.0,65.5
00:17:43,26.0,63.0
00:17:47,28.0,60.5
00:17:51,30.0,58.0
00:17:55,32.0,55.5
00:17:59,34.0,53.0
00:18:03,36.0,50.5
00:18:07,38.0,48.0
00:18:11,40.0,45.5
00:18:15,39.0,47.0
00:18:19,38.0,48.5
00:18:23,37.0,50.0
00:18:27,36.0,51.5
00:18:31,35.0,53.0
00:18:35,34.0,54.5
00:18:39,33.0,56.0
00:18:43,32.0,57.5
00:18:47,31.0,59.0
00:18:51,30.0,60.5
00:18:55,29.0,62.0
00:18:59,28.0,63.5
00:19:03,27.0,65.0
00:19:07,26.0,66.5
00:19:11,25.0,68.0
00:19:15,24.0,69.5
00:19:19,23.0,71.0
00:19:23,22.0,72.5
00:19:27,21.0,74.0
00:19:31,20.0,75.5
00:19:35,19.0,77.0
00:19:39,18.0,78.5
00:19:43,17.0,80.0
00:19:47,16.0,81.5
00:19:51,15.0,83.0
00:19:55,14.0,84.5
00:19:59,13.0,86.0
00:20:03,12.0,87.5
00:20:07,11.0,89.0
00:20:11,10.0,90.5
00:20:15,9.0,92.0
00:20:19,8.0,93.5
00:20:23,7.0,95.0
00:20:27,6.0,93.0
00:20:31,5.0,91.0
00:20:35,4.0,89.0
00:20:39,3.0,87.0
00:20:43,2.0,85.0
00:20:47,1.0,83.0
00:20:51,0.0,81.0
00:20:55,2.0,78.5
00:20:59,4.0,76.0
00:21:03,6.0,73.5
00:21:07,8.0,71.0
00:21:11,10.0,68.5
00:21:15,12.0,66.0
00:21:19,14.0,63.5
00:21:23,16.0,61.0
00:21:27,18.0,58.5
00:21:31,20.0,56.0
00:21:35,22.0,53.5
00:21:39,24.0,51.0
00:21:43,26.0,48.5
00:21:47,28.0,46.0
00:21:51,30.0,43.5
00:21:55,32.0,41.0
00:21:59,34.0,38.5
00:22:03,36.0,36.0
00:22:07,38.0,33.5
00:22:11,40.0,31.0
00:22:15,39.0,32.5
00:22:19,38.0,34.0
00:22:23,37.0,35.5
00:22:27,36.0,37.0
00:22:31,35.0,38.5
00:22:35,34.0,40.0
00:22:39,33.0,41.5
00:22:43,32.0,43.0
00:22:47,31.0,44.5
00:22:51,30.0,46.0
00:22:55,29.0,47.5
00:22:59,28.0,49.0
00:23:03,27.0,50.5
00:23:07,26.0,52.0
00:23:11,25.0,53.5
00:23:15,24.0,55.0
00:23:19,23.0,56.5
00:23:23,22.0,58.0
00:23:27,21.0,59.5
00:23:31,20.0,61.0
00:23:35,19.0,62.5
00:23:39,18.0,64.0
00:23:43,17.0,65.5
00:23:47,16.0,67.0
00:23:51,15.0,68.5
00:23:55,14.0,70.0
00:23:59,13.0,71.5
00:24:03,12.0,73.0
00:24:07,11.0,74.5
00:24:11,10.0,76.0
00:24:15,9.0,77.5
00:24:19,8.0,79.0
00:24:23,7.0,80.5
00:24:27,6.0,82.0
00:24:31,5.0,83.5
00:24:35,4.0,85.0
00:24:39,3.0,86.5
00:24:43,2.0,88.0
00:24:47,1.0,89.5
00:24:51,0.0,91.0
00:24:55,2.0,88.5
00:24:59,4.0,86.0
00:25:03,6.0,83.5
00:25:07,8.0,81.0
00:25:11,10.0,78.5
00:25:15,12.0,76.0
00:25:19,14.0,73.5
00:25:23,16.0,71.0
00:25:27,18.0,68.5
00:25:31,20.0,66.0
00:25:35,22.0,63.5
00:25:39,24.0,61.0
00:25:43,26.0,58.5
00:25:47,28.0,56.0
00:25:51,30.0,53.5
00:25:55,32.0,51.0
00:25:59,34.0,48.5
00:26:03,36.0,46.0
00:26:07,38.0,43.5
00:26:11,40.0,41.0
00:26:15,39.0,42.5
00:26:19,38.0,44.0
00:26:23,37.0,45.5
00:26:27,36.0,47.0
00:26:31,35.0,48.5
00:26:35,34.0,50.0
00:26:39,33.0,51.5
00:26:43,32.0,53.0
00:26:47,31.0,54.5
00:26:51,30.0,56.0
00:26:55,29.0,57.5
00:26:59,28.0,59.0
00:27:03,27.0,60.5
00:27:07,26.0,62.0
00:27:11,25.0,63.5
00:27:15,24.0,65.0
00:27:19,23.0,66.5
00:27:23,22.0,68.0
00:27:27,21.0,69.5
00:27:31,20.0,71.0
00:27:35,19.0,72.5
00:27:39,18.0,74.0
00:27:43,17.0,75.5
00:27:47,16.0,77.0
00:27:51,15.0,78.5
00:27:55,14.0,80.0
00:27:59,13.0,81.5
00:28:03,12.0,83.0
00:28:07,11.0,84.5
00:28:11,10.0,86.0
00:28:15,9.0,87.5
00:28:19,8.0,89.0
00:28:23,7.0,90.5
00:28:27,6.0,92.0
00:28:31,5.0,93.5
00:28:35,4.0,95.0
00:28:39,3.0,93.0
00:28:43,2.0,91.0
00:28:47,1.0,89.0
00:28:51,0.0,87.0
00:28:55,2.0,84.5
00:28:59,4.0,82.0
00:29:03,6.0,79.5
00:29:07,8.0,77.0
00:29:11,10.0,74.5
00:29:15,12.0,72.0
00:29:19,14.0,69.5
00:29:23,16.0,67.0
00:29:27,18.0,64.5
00:29:31,20.0,62.0
00:29:35,22.0,59.5
00:29:39,24.0,57.0
00:29:43,26.0,54.5
00:29:47,28.0,52.0
00:29:51,30.0,49.5
00:29:55,32.0,47.0
00:29:59,34.0,44.5
00:30:03,36.0,42.0
00:30:07,38.0,39.5
00:30:11,40.0,37.0
00:30:15,39.0,38.5
00:30:19,38.0,40.0
00:30:23,37.0,41.5
00:30:27,36.0,43.0
00:30:31,35.0,44.5
00:30:35,34.0,46.0
00:30:39,33.0,47.5
00:30:43,32.0,49.0
00:30:47,31.0,50.5
00:30:51,30.0,52.0
00:30:55,29.0,53.5
00:30:59,28.0,55.0
00:31:03,27.0,56.5
00:31:07,26.0,58.0
00:31:11,25.0,59.5
00:31:15,24.0,61.0
00:31:19,23.0,62.5
00:31:23,22.0,64.0
00:31:27,21.0,65.5
00:31:31,20.0,67.0
00:31:35,19.0,68.5
00:31:39,18.0,70.0
00:31:43,17.0,71.5
00:31:47,16.0,73.0
00:31:51,15.0,74.5
00:31:55,14.0,76.0
00:31:59,13.0,77.5
00:32:03,12.0,79.0
00:32:07,11.0,80.5
00:32:11,10.0,82.0
00:32:15,9.0,83.5
00:32:19,8.0,85.0
00:32:23,7.0,86.5
00:32:27,6.0,88.0
00:32:31,5.0,89.5
00:32:35,4.0,91.0
00:32:39,3.0,92.5
00:32:43,2.0,94.0
00:32:47,1.0,95.5
00:32:51,0.0,97.0
00:32:55,2.0,94.5
00:32:59,4.0,92.0
00:33:03,6.0,89.5
00:33:07,8.0,87.0
00:33:11,10.0,84.5
00:33:15,12.0,82.0
00:33:19,14.0,79.5
00:33:23,16.0,77.0
00:33:27,18.0,74.5
00:33:31,20.0,72.0
00:33:35,22.0,69.5
00:33:39,24.0,67.0
00:33:43,26.0,64.5
00:33:47,28.0,62.0
00:33:51,30.0,59.5
00:33:55,32.0,57.0
00:33:59,34.0,54.5
00:34:03,36.0,52.0
00:34:07,38.0,49.5
00:34:11,40.0,47.0
00:34:15,39.0,48.5
00:34:19,38.0,50.0
00:34:23,37.0,51.5
00:34:27,36.0,53.0
00:34:31,35.0,54.5
00:34:35,34.0,56.0
00:34:39,33.0,57.5
00:34:43,32.0,59.0
00:34:47,31.0,60.5
00:34:51,30.0,62.0
00:34:55,29.0,63.5
00:34:59,28.0,65.0
00:35:03,27.0,66.5
00:35:07,26.0,68.0
00:35:11,25.0,69.5
00:35:15,24.0,71.0
00:35:19,23.0,72.5
00:35:23,22.0,74.0
00:35:27,21.0,75.5
00:35:31,20.0,77.0
00:35:35,19.0,78.5
00:35:39,18.0,80.0
00:35:43,17.0,81.5
00:35:47,16.0,83.0
00:35:51,15.0,84.5
00:35:55,14.0,86.0
00:35:59,13.0,87.5
00:36:03,12.0,89.0
00:36:07,11.0,90.5
00:36:11,10.0,92.0
00:36:15,9.0,93.5
00:36:19,8.0,95.0
00:36:23,7.0,93.0
00:36:27,6.0,91.0
00:36:31,5.0,89.0
00:36:35,4.0,87.0
00:36:39,3.0,85.0
00:36:43,2.0,83.0
00:36:47,1.0,81.0
00:36:51,0.0,79.0
00:36:55,2.0,76.5
00:36:59,4.0,74.0
00:37:03,6.0,71.5
00:37:07,8.0,69.0
00:37:11,10.0,66.5
00:37:15,12.0,64.0
00:37:19,14.0,61.5
